member_index,nickname,birth_date,gender,nation_code,university_code,status,nickname_last_changed_at
1,luc90,1995-06-30,MALE,FR,EWHA_WOMANS_U,EXCHANGE_STUDENT,2025-12-26 10:00:50
2,antoine91,1990-09-18,MALE,FR,KOREA_U,INTERNATIONAL_STUDENT,2025-12-19 13:01:53
3,olivia,2002-08-03,MALE,US,SOONGSIL_U,KOREAN_STUDENT,2025-12-25 21:48:39
4,lucas99,1990-02-23,MALE,US,JEJU_NU,LANGUAGE_SCHOOL_STUDENT,2025-12-25 13:03:32
5,yuki93,1992-04-17,MALE,JP,CHONNAM_NU,EXCHANGE_STUDENT,2025-12-31 20:23:10
6,sakura99,1990-12-22,FEMALE,JP,SOONGSIL_U,EXCHANGE_STUDENT,2025-12-23 14:47:05
7,wei98,2004-02-06,FEMALE,CN,KONKUK_U,EXCHANGE_STUDENT,2025-12-18 06:00:07
8,hyunwoo,1995-03-23,MALE,KR,CHONNAM_NU,LANGUAGE_SCHOOL_STUDENT,2025-12-28 08:19:28
9,lin,1998-04-21,FEMALE,CN,KONKUK_U,LANGUAGE_SCHOOL_STUDENT,2025-12-30 05:03:56
10,luc,2001-12-24,MALE,FR,SUNGKYUNKWAN_U,KOREAN_STUDENT,2025-12-20 05:24:24
11,jing,2005-05-10,FEMALE,CN,YONSEI_U,INTERNATIONAL_STUDENT,2025-12-26 09:12:09
12,max95,1996-01-03,MALE,DE,KONKUK_U,LANGUAGE_SCHOOL_STUDENT,2025-12-19 02:35:40
13,daniel97,2004-06-02,FEMALE,US,EWHA_WOMANS_U,LANGUAGE_SCHOOL_STUDENT,2025-12-30 14:16:38
14,emily98,2003-02-10,FEMALE,US,CHONNAM_NU,LANGUAGE_SCHOOL_STUDENT,2025-12-24 07:28:44
15,james,1993-06-06,MALE,US,JEJU_NU,EXCHANGE_STUDENT,2025-12-25 23:21:28
16,xiaoyu99,2001-11-13,FEMALE,CN,SOONGSIL_U,EXCHANGE_STUDENT,2025-12-31 05:01:20
17,luc98,2004-05-17,FEMALE,FR,HANYANG_U,LANGUAGE_SCHOOL_STUDENT,2025-12-21 20:42:23
18,liang,1995-11-28,MALE,CN,AJOU_U,EXCHANGE_STUDENT,2025-12-18 21:12:32
19,felix,1993-06-06,FEMALE,DE,SUNGKYUNKWAN_U,EXCHANGE_STUDENT,2025-12-18 07:23:05
20,quang,1992-07-05,FEMALE,VN,KAIST,INTERNATIONAL_STUDENT,2025-12-22 17:27:02
21,jihoon,2001-12-12,MALE,KR,EWHA_WOMANS_U,KOREAN_STUDENT,2025-12-24 05:16:15
22,anh94,1994-10-02,MALE,VN,KAIST,KOREAN_STUDENT,2025-12-19 03:10:20
23,leo97,1992-09-18,MALE,FR,HONGIK_U,EXCHANGE_STUDENT,2025-12-22 20:18:02
24,haruto,2003-03-14,MALE,JP,SEOUL_NU,EXCHANGE_STUDENT,2025-12-19 15:31:40
25,antoine93,2005-01-02,FEMALE,FR,KONKUK_U,INTERNATIONAL_STUDENT,2025-12-26 10:07:47
26,antoine99,1995-06-14,FEMALE,FR,JEJU_NU,INTERNATIONAL_STUDENT,2025-12-23 22:37:17
27,jihoon96,1999-07-02,FEMALE,KR,UNIV_OF_SEOUL,EXCHANGE_STUDENT,2025-12-28 04:49:15
28,leo,1994-04-19,MALE,FR,SOONGSIL_U,KOREAN_STUDENT,2025-12-26 01:13:13
29,lucas92,2000-05-17,MALE,US,KOREA_U,KOREAN_STUDENT,2025-12-21 03:26:35
30,jonas,2004-08-17,MALE,DE,KOREA_U,INTERNATIONAL_STUDENT,2025-12-26 04:20:10
31,lucas97,1994-10-18,FEMALE,US,YONSEI_U,INTERNATIONAL_STUDENT,2025-12-25 19:39:01
32,wei96,2000-03-16,FEMALE,CN,JEJU_NU,KOREAN_STUDENT,2025-12-22 06:44:13
33,emily,1991-04-25,MALE,US,PUSAN_NU,EXCHANGE_STUDENT,2025-12-23 16:12:58
34,haneul,1991-04-11,MALE,KR,SUNGKYUNKWAN_U,EXCHANGE_STUDENT,2025-12-18 22:17:06
35,minh93,1992-09-09,MALE,VN,YONSEI_U,EXCHANGE_STUDENT,2025-12-31 23:32:05
36,lin99,1995-11-07,MALE,CN,PUSAN_NU,INTERNATIONAL_STUDENT,2025-12-21 08:23:08
37,ren92,2000-04-03,FEMALE,JP,KOREA_U,EXCHANGE_STUDENT,2025-12-30 03:50:57
38,chen,1991-08-24,MALE,CN,AJOU_U,LANGUAGE_SCHOOL_STUDENT,2025-12-23 03:18:10
39,alex,1998-04-16,FEMALE,US,SUNGKYUNKWAN_U,KOREAN_STUDENT,2025-12-21 03:52:44
40,lena,1992-05-26,MALE,DE,POSTECH,LANGUAGE_SCHOOL_STUDENT,2025-12-28 09:58:34
41,anh,2005-06-02,FEMALE,VN,AJOU_U,KOREAN_STUDENT,2025-12-26 09:44:20
42,haruto91,1996-03-16,MALE,JP,SEOUL_NU,LANGUAGE_SCHOOL_STUDENT,2025-12-23 17:56:46
43,anna98,2002-07-31,MALE,DE,HANYANG_U,EXCHANGE_STUDENT,2025-12-30 17:08:13
44,emma,1998-04-13,MALE,FR,JEJU_NU,INTERNATIONAL_STUDENT,2025-12-22 12:37:31
45,jiyoung,1998-01-10,MALE,KR,HONGIK_U,EXCHANGE_STUDENT,2025-12-25 01:35:55
46,misaki,1995-04-24,MALE,JP,SUNGKYUNKWAN_U,KOREAN_STUDENT,2025-12-18 13:16:35
47,seongmin95,2005-01-09,MALE,KR,POSTECH,INTERNATIONAL_STUDENT,2025-12-22 18:07:13
48,max,2000-07-22,MALE,DE,KONKUK_U,KOREAN_STUDENT,2025-12-17 23:23:24
49,sakura,1990-07-13,MALE,JP,CHONNAM_NU,LANGUAGE_SCHOOL_STUDENT,2025-12-24 20:27:17
50,haruto94,2004-05-22,FEMALE,JP,SOONGSIL_U,LANGUAGE_SCHOOL_STUDENT,2025-12-26 22:23:08
