id,clerk_id,email,email_verified,is_registered,is_suspended,suspended_at,allow_message_notif,allow_event_notif,allow_gathering_notif,allow_comment_notif,allow_bookmark_notif,last_login_at,role,created_at,updated_at,deleted_at
31,clerk_e7d853c501674873b913,user31@example.com,True,True,False,,True,True,True,True,True,2026-02-02T02:32:05.781449Z,USER,2025-12-27T04:18:05.781389Z,2026-01-30T23:04:05.781439Z,
32,clerk_04db09879b424915b416,user32@example.com,True,True,False,,True,True,True,True,True,2026-01-30T06:18:05.781582Z,USER,2026-01-29T09:32:05.781565Z,2026-02-01T04:42:05.781575Z,
33,clerk_4830a9a694ea4fec9a7d,user33@example.com,True,True,False,,True,True,True,True,True,2026-02-01T08:38:05.781637Z,USER,2026-01-31T01:05:05.781625Z,2026-01-31T12:18:05.781632Z,
34,clerk_2b88f322caa14cedacf1,user34@example.com,True,True,False,,True,True,True,True,True,2026-02-05T01:35:05.781680Z,USER,2026-01-01T18:05:05.781668Z,2026-02-01T13:02:05.781675Z,
35,clerk_191e9c5cb95441d0a1b7,user35@example.com,True,True,False,,True,True,True,True,True,2026-01-31T04:14:05.781720Z,USER,2026-01-08T21:02:05.781709Z,2026-02-04T00:31:05.781715Z,
36,clerk_463466dcf22a4521b9cc,user36@example.com,True,True,False,,True,True,True,True,True,2026-02-04T07:50:05.781759Z,USER,2026-01-12T03:57:05.781748Z,2026-02-02T12:03:05.781754Z,
37,clerk_4a436bf61c9a4aca902a,user37@example.com,True,True,False,,True,True,True,True,True,2026-01-31T10:40:05.781797Z,USER,2026-01-02T03:20:05.781786Z,2026-02-02T04:44:05.781792Z,
38,clerk_2b9390ad2b4648b28596,user38@example.com,True,True,False,,True,True,True,True,True,2026-02-01T22:14:05.781833Z,USER,2026-01-12T13:07:05.781822Z,2026-01-31T05:17:05.781829Z,
39,clerk_16a1b420e1ee4386906a,user39@example.com,True,True,False,,True,True,True,True,True,2026-01-31T01:56:05.781871Z,USER,2026-01-22T03:55:05.781860Z,2026-02-02T16:39:05.781866Z,
40,clerk_736c5df27d904fc5828f,user40@example.com,True,True,False,,True,True,True,True,True,2026-02-03T11:39:05.781906Z,USER,2026-01-14T00:37:05.781896Z,2026-02-02T08:20:05.781902Z,
41,clerk_6dc90ca1441b411b8968,user41@example.com,True,True,False,,True,True,True,True,True,2026-01-29T22:20:05.781943Z,USER,2026-01-25T13:33:05.781933Z,2026-02-04T01:50:05.781938Z,
42,clerk_650a1246756c41db9be7,user42@example.com,True,True,False,,True,True,True,True,True,2026-02-04T23:27:05.781978Z,USER,2025-12-26T08:44:05.781968Z,2026-02-03T09:59:05.781974Z,
43,clerk_d23074a22d214776a1fa,user43@example.com,True,True,False,,True,True,True,True,True,2026-01-31T00:38:05.782014Z,USER,2026-02-02T20:54:05.782004Z,2026-02-03T05:06:05.782009Z,
44,clerk_5f8c1a190cf5466a9650,user44@example.com,True,True,False,,True,True,True,True,True,2026-02-01T03:04:05.782051Z,USER,2026-01-04T18:23:05.782040Z,2026-01-30T17:10:05.782046Z,
45,clerk_2e2176d0555c40ab9108,user45@example.com,True,True,False,,True,True,True,True,True,2026-01-29T20:05:05.782086Z,USER,2025-12-31T14:03:05.782076Z,2026-01-30T12:52:05.782081Z,
46,clerk_bb906d037fe046399ae9,user46@example.com,True,True,False,,True,True,True,True,True,2026-02-04T02:39:05.782128Z,USER,2026-01-27T14:48:05.782117Z,2026-02-05T05:24:05.782123Z,
