id,member_id,nickname,nickname_last_changed_at,birth_date,gender,nation_code,university_id,status,created_at,updated_at,deleted_at
31,31,johnsonjoshua,2026-01-23T01:32:05.785330Z,1996-04-03,MALE,VN,12,KOREAN_STUDENT,2026-01-20T01:32:05.785330Z,2026-02-01T13:34:05.785369Z,
32,32,donaldgarcia,2026-02-05T19:42:05.786136Z,1998-06-16,FEMALE,KR,66,INTERNATIONAL_STUDENT,2026-02-02T19:42:05.786136Z,2026-02-01T02:52:05.786145Z,
33,33,garzaanthony,2026-01-23T10:13:05.786490Z,1997-08-27,MALE,US,73,EXCHANGE_STUDENT,2026-01-20T10:13:05.786490Z,2026-02-02T13:23:05.786500Z,
34,34,robinsonwilliam,2026-01-27T07:20:05.787012Z,1997-12-28,MALE,VN,9,FOREIGN_RESIDENT,2026-01-24T07:20:05.787012Z,2026-02-02T17:28:05.787021Z,
35,35,hoffmanjennifer,2026-02-05T16:05:05.787336Z,1997-07-02,MALE,VN,44,FOREIGN_RESIDENT,2026-02-02T16:05:05.787336Z,2026-02-03T16:57:05.787343Z,
36,36,lrobinson92,2026-01-17T22:24:05.787641Z,2002-08-15,FEMALE,KR,9,LANGUAGE_SCHOOL_STUDENT,2026-01-14T22:24:05.787641Z,2026-02-04T22:57:05.787648Z,
37,37,lisa0265,2026-01-27T13:03:05.787843Z,2003-03-04,FEMALE,FR,112,KOREAN_STUDENT,2026-01-24T13:03:05.787843Z,2026-02-05T03:41:05.787850Z,
38,38,jpeterson15,2026-01-31T18:22:05.788001Z,1995-01-07,MALE,JP,73,EXCHANGE_STUDENT,2026-01-28T18:22:05.788001Z,2026-02-01T01:03:05.788007Z,
39,39,susanrogers48,2026-01-17T11:59:05.788188Z,2002-06-24,FEMALE,JP,73,LANGUAGE_SCHOOL_STUDENT,2026-01-14T11:59:05.788188Z,2026-01-31T03:33:05.788195Z,
40,40,jamesmichael,2026-01-04T03:07:05.788449Z,2001-11-26,FEMALE,FR,91,EXCHANGE_STUDENT,2026-01-01T03:07:05.788449Z,2026-02-01T09:55:05.788455Z,
41,41,cassandra0793,2026-01-19T22:06:05.788712Z,2000-03-19,FEMALE,FR,44,KOREAN_STUDENT,2026-01-16T22:06:05.788712Z,2026-02-01T12:41:05.788718Z,
42,42,dudleynicholas7,2026-01-08T08:09:05.788862Z,1996-01-18,MALE,VN,54,INTERNATIONAL_STUDENT,2026-01-05T08:09:05.788862Z,2026-01-31T05:01:05.788868Z,
43,43,maria95,2026-01-27T03:18:05.789123Z,2000-02-09,FEMALE,VN,112,INTERNATIONAL_STUDENT,2026-01-24T03:18:05.789123Z,2026-02-04T23:49:05.789129Z,
44,44,janetwilliams,2026-01-14T15:54:05.789267Z,2003-06-03,MALE,FR,44,INTERNATIONAL_STUDENT,2026-01-11T15:54:05.789267Z,2026-02-04T02:38:05.789273Z,
45,45,kendragalloway2,2026-01-05T17:16:05.789529Z,1996-06-30,FEMALE,VN,91,KOREAN_STUDENT,2026-01-02T17:16:05.789529Z,2026-01-31T23:21:05.789535Z,
46,46,michellejames74,2025-12-31T20:31:05.789775Z,2004-04-25,FEMALE,US,85,FOREIGN_RESIDENT,2025-12-28T20:31:05.789775Z,2026-02-01T11:27:05.789781Z,
47,47,xreid76,2026-01-22T23:26:05.790019Z,2002-01-11,MALE,JP,85,EXCHANGE_STUDENT,2026-01-19T23:26:05.790019Z,2026-01-30T22:30:05.790025Z,
48,48,mitchellclark,2026-01-21T00:02:05.790188Z,1996-07-20,MALE,US,73,INTERNATIONAL_STUDENT,2026-01-18T00:02:05.790188Z,2026-02-02T20:22:05.790194Z,
49,49,jacqueline1969,2026-01-26T04:53:05.790433Z,1995-09-13,MALE,FR,73,KOREAN_STUDENT,2026-01-23T04:53:05.790433Z,2026-02-01T20:45:05.790438Z,
50,50,amandasanchez48,2026-02-06T12:55:05.790653Z,2004-07-27,FEMALE,DE,91,KOREAN_STUDENT,2026-02-03T12:55:05.790653Z,2026-02-02T06:57:05.790660Z,
51,51,ogray13,2026-01-24T16:05:05.791233Z,1998-10-08,FEMALE,VN,12,FOREIGN_RESIDENT,2026-01-21T16:05:05.791233Z,2026-02-02T17:48:05.791242Z,
52,52,gabriellecamero,2026-01-30T11:45:05.791444Z,1995-12-10,FEMALE,US,85,INTERNATIONAL_STUDENT,2026-01-27T11:45:05.791444Z,2026-02-04T18:42:05.791449Z,
53,53,perezantonio51,2026-02-04T22:55:05.791659Z,2003-07-15,FEMALE,JP,73,LANGUAGE_SCHOOL_STUDENT,2026-02-01T22:55:05.791659Z,2026-02-03T00:50:05.791664Z,
54,54,richard13,2026-02-02T16:18:05.791836Z,2002-04-16,MALE,VN,1,EXCHANGE_STUDENT,2026-01-30T16:18:05.791836Z,2026-01-30T14:16:05.791840Z,
55,55,jason76,2026-01-24T00:26:05.791929Z,2000-04-23,MALE,DE,44,FOREIGN_RESIDENT,2026-01-21T00:26:05.791929Z,2026-02-04T12:10:05.791933Z,
56,56,ithomas,2026-01-22T20:09:05.792023Z,1998-06-28,MALE,DE,1,LANGUAGE_SCHOOL_STUDENT,2026-01-19T20:09:05.792023Z,2026-01-31T11:32:05.792028Z,
57,57,julieryan,2026-01-02T09:21:05.792391Z,2001-08-22,MALE,KR,54,KOREAN_STUDENT,2025-12-30T09:21:05.792391Z,2026-02-01T18:34:05.792396Z,
